Name,Pool 1,Pool 2,Final
"ROBITZSKI, Daniel",229,227,227
"YU, Colin",230,65,77
"MONTPELLIER, Jean-Baptiste",231,228,228
"SHUSTER, Joshua",231,228,228
"BURKE, Matthew",233,230,230
"IVANOV, Nicholas",234,231,231
"MA, Ark",234,109,110
"STOREY, Joseph",234,231,231
"WESTEN, Zachary",237,233,233
"FELKER, Jared",238,234,234
"COMER, Daniel",239,235,235
"WOZNIAK, David",239,235,235
"SENSEMAN, Samuel",241,237,237
"KANG, Michael",242,238,238
"CAMPOS, William",243,239,239
"MOSS, David",244,240,240
"JIA, Chengming",245,241,241
"FANNING, Abe",245,241,241
"AL-TAYEB, Ahmed",247,243,243
"ROGAK, Benjamin",248,244,244
"SIROKY, Michael",249,245,245
"CARTER, Austin",250,246,246
"POTES, Maki",251,247,247
"SIRAND, Luke",252,248,248
"CHA, Russell",253,249,249
"MERCHANT, Reza",254,250,250
"AINA, Tiwalayo",255,251,251
"LUNDBORG, Tad",256,252,252
"SMITH, William",257,253,253
"ZWEGERS, Alexander",258,254,254
"WEI, Zikun",259,255,255
"ROBISON, Nicholas",259,255,255
"POLINER, Jarett",261,257,257
"LI, Frank",261,257,257
"COLE, Wyatt",263,259,259
"ZHU, Wilson",263,259,259
"SHORT, Salim",265,261,261
"JAYENDRA, Chandrashekar",266,262,262
"CHIZ, Max",267,263,263
"SATTERFIELD, Patrick",268,264,264
"RYJIKOV, Benjamin",268,264,264
"FERRARESI, Mark",270,266,266
"TAE, William",271,267,267
"BARD, Simon",272,268,268
"GORDON, Reis",272,268,268
"KIM, Ethan",272,268,268
"CAMPOS, Jesus",275,271,271
"XU, Zitong (Evan)",276,272,272
"MACKENZIE, David",277,273,273
"RUSSANOV, Boris",278,274,274
"NOMANI, Shibli",278,274,274
"HORAN, Sean",280,276,276
"WEST, Scott",281,277,277
"REINER, Julius",282,278,278
"BRAND, Wesley",283,279,279
"WOZNIAK, Sebastian",284,280,280
"BOCEK, Brodee",284,280,280
"HOLST, Eric",286,282,282
"GREEN, Jake",287,283,283
"TIERNEY, Luke",288,284,284
"BRUCE, Ommer",288,284,284
"RUSSELL, Joe",290,286,286
"SJOSTEDT, Jacob",DNF,DNF,DNF
"KRAFT, Dennis",1,0,9
"HADZIC, Alen",2,0,10
"WEISS, Lewis",3,0,5
"PRYOR, Jason",4,0,1
"STEPIEN, Marek",5,0,17
"SMITH, Dwight",6,0,2
"HESSLEGRAVE, Porter",7,0,18
"UNGAR, Benjamin",8,0,33
"MCDOWALD, Curtis",9,0,34
"RAMIREZ, Yeisser",10,0,19
"TSINIS, Alexander",11,0,35
"NOLLNER, Dylan",12,0,11
"KELLER, Kai",12,0,20
"LARSEN, Samuel",14,0,12
"MO, Kevin",15,0,3
"RODELL, Clinton",16,0,21
"HOUSE, Alex",17,0,6
"SCHUMACHER, Cooper",18,0,22
"RODNEY, Adam",19,0,23
"MACZIK, Adam",20,0,7
"ZACHARAKIS, Darius",20,0,36
"SALEM, James",22,0,13
"CANAUX, Gabriel",23,0,14
"BRATTON, Benjamin",24,0,3
"WATSON, Adam",25,0,37
"SHERRILL, Teddy",26,0,8
"SHINDLER, Oliver",27,0,24
"DION, Justin",28,0,15
"ARLINGTON, Nicholas",29,0,38
"MALLETTE, Cole",30,0,25
"MOODY, James",31,0,26
"HORANYI, Andras",32,0,27
"RAFIDI, Joseph",32,0,39
"FREIMAN, Samuel",34,0,40
"CHENG, Zachary",35,0,41
"ZELLER, Zachary",36,0,28
"XU, Jason",37,0,42
"LICHTEN, Keith",38,0,43
"SIMMONS, Ariel",39,0,44
"JACOVINO, Jonathan",40,0,16
"ELDEIB, Alexander",41,0,45
"CRANOR, Erich",42,0,46
"POPOVICI, Stefan",43,0,47
"MALUEG, August",44,0,48
"JONES, Simon",45,0,29
"JOHNSON, Wesley",46,0,49
"ANTEKEIER, Aidan",47,0,50
"SUVOROV, Yuly",48,0,51
"HENDERSON, Jason",49,0,52
"TABLEMAN, Stephen",50,0,53
"ELGEZIRY, Omar",50,0,53
"STUSNICK, Hunter",52,0,55
"LINDBLOM, Ian",53,0,56
"NESLUND, Byron",54,0,57
"MANDOKI, Sandor",54,0,30
"POPOVICI, Michael",56,0,31
"BLACKWOOD, Samuel",57,0,32
"REISS, Albert",58,0,58
"LEE, Nathan",59,0,59
"YERGLER, Jonathan",60,0,60
"JOHNSON, Elias",61,0,61
"ARIETA, Ryan",62,0,62
"YOO, Justin",63,0,63
"PISKOVATSKOV, Anton",64,0,64
"SPICKES, Austin",65,0,65
"COTTAM, Bobby",66,0,66
"SHORT, Salim",67,0,67
"CRAMERUS, John",68,0,68
"STRONG, Sean",69,0,69
"RACHTCHININE, Alexandre",70,0,70
"HOROWITZ, Charles",71,0,71
"WILSON, Corbin",72,0,72
"PIDHORODECKYJ, Andrew",73,0,73
"MOREAU, John",74,0,74
"XU, Jonathan",75,0,75
"SCHROFF, Derrick",76,0,76
"Ramirez, Yeisser",1,0,9
"Dion, Justin",2,0,17
"Rodney, Adam",3,0,18
"Weiss, Lewis",4,0,19
"Stepien, Marek",5,0,3
"Pryor, Jason",6,0,10
"Nollner, Dylan",7,0,5
"Johnson, Wesley",8,0,11
"Keller, Kai-Moritz",9,0,20
"Yamasaki, Kyle",10,0,33
"Elashry, Zeyad",11,0,34
"Kaull, James",12,0,21
"Schumacher, Cooper",13,0,12
"Wicas, Graham",14,0,35
"House, Alex",15,0,2
"Bradford, Jack",16,0,1
"White, Sean",17,0,22
"Jacovino, Jonathan",18,0,23
"Bratton, Benjamin",19,0,36
"Johnson, Nicholas",20,0,24
"Dieck, Julien",21,0,13
"Yuan, Wesley",22,0,3
"Tsinis, Alexander",23,0,25
"Hesslegrave, Porter",24,0,6
"Lombardo, Theodore",25,0,37
"Zacharakis, Darius",26,0,38
"Lichten, Keith",27,0,39
"Mandoki, Sandor",28,0,40
"Kraft, Dennis",29,0,41
"Canaux, Gabriel",30,0,7
"Jones, Simon",31,0,42
"Hadzic, Alen",32,0,26
"Cotter, Alexander",33,0,43
"Rafidi, Joseph",34,0,14
"Zacharakis, Demetri",35,0,44
"De Guzman, Inaki",36,0,8
"Van Den Bergh, Alexander",37,0,27
"Griffiths, Ryan",38,0,28
"Freiman, Benjamin",39,0,29
"Zmyslowski, Maciek",40,0,30
"Alperstein, Jonathan",41,0,45
"Roth, Charles",42,0,46
"Shindler, Oliver",43,0,47
"Neslund, Byron",44,0,48
"Freiman, Samuel",45,0,49
"Madrigal Sardinas, Guillermo",46,0,15
"Comes, Matthew",47,0,50
"Yergler, Jonathan",48,0,51
"Yamanaka, Mick",49,0,52
"Barr, Davidson",50,0,53
"Shelanski, Isaac",50,0,31
"Smith, Dwight",52,0,54
"Mecke, Cedric",53,0,55
"Crouse, Wolfe",54,0,32
"Geraghty, Michael",55,0,16
"Connor, Ryan",56,0,56
"Maczik, Adam",57,0,57
"Cottam, Bobby",58,0,58
"Zeller, Zachary",59,0,59
"Rodell, Clinton",60,0,60
"Swanson, Lars",61,0,61
"Larsen, Samuel",62,0,62
"Taylor, Joe",63,0,63
"Arieta, Ryan",64,0,64
"Toltus, Gabriel",65,0,65
"DeYoung, Jay",66,0,66
"Cole, Elias",67,0,67
"Tafoya, Devin",67,0,67
"Suvorov, Yuly",69,0,69
"HOUSE, Alex",1,4,33
"ZAGORUIKO, Ivan",2,33,43
"WILSON, Sean",3,68,68
"TSINIS, Alexander",4,8,5
"BRADFORD, Jack",5,72,72
"ELASHRY, Zeyad",6,36,45
"CANAUX, Gabriel",7,61,61
"MCDOWALD, Curtis",8,12,35
"MADRIGAL SARDINAS, Guillermo",9,7,21
"SCHUMACHER, Cooper",10,35,7
"MACZIK, Adam",11,2,18
"RAFIDI, Joseph",12,32,3
"NOLLNER, Dylan",13,9,9
"YOO, Justin",14,13,1
"EWART Jr., Stephen",15,16,37
"JOHNSON, Wesley",16,1,17
"KAULL, James",17,42,13
"RAYNIS, Jake",18,44,14
"YUAN, Wesley",19,68,68
"PISKOVATSKOV, Anton",20,10,22
"RODNEY, Adam",21,31,2
"SMITH, Dwight",22,40,48
"FREIMAN, Samuel",23,3,19
"DE GUZMAN, Inaki",24,17,38
"KOCH, Samuel",25,89,89
"HESSLEGRAVE, Porter",26,43,50
"WILSON, Nicolas",27,44,51
"WHITE, Sean",28,18,10
"JOHNSON, Nicholas",29,66,66
"ZMYSLOWSKI, Maciek",30,19,24
"THEIN-SANDLER, Adrien",31,24,26
"SHINDLER, Oliver",32,54,31
"SIMMONS, Ariel",33,71,71
"GERAGHTY, Michael",34,74,74
"HOYLE, Jacob",35,28,6
"CROUSE, Wolfe",36,48,29
"COMES, Matthew",37,47,53
"GRIFFITHS, Ryan",38,6,3
"HOROWITZ, Charles",39,39,8
"COLE, Elias",40,56,57
"MITTAL, Neil",41,93,93
"TEMIRYAEV, Alan",41,99,99
"SYKES, Nyle",43,63,63
"DRAGONETTI, Walter",44,46,52
"DECKER, Tristan",45,100,100
"FREIMAN, Benjamin",46,101,101
"KIMATIAN, Harrison",46,41,49
"KUNG, Aidan",48,10,34
"VAN DEN BERGH, Alexander",49,68,68
"BRATTON, Benjamin",50,25,41
"BOGERT, Alexander BRYCE",51,83,83
"GUINAN III, Joseph",52,96,96
"HERBST, Isaac",52,102,102
"RODELL, Clinton",54,57,58
"JACOVINO, Jonathan",55,91,91
"NESLUND, Byron",55,103,103
"LOMBARDO, Theodore",55,55,56
